Código;Descripción corta;UdM base;Tipo;Perfil logístico
1F1VIRICK%RS37;FLAT RICKY;UN;CALZADO;
1F1VIRICK%RS38;FLAT RICKY;UN;CALZADO;
1F1VIRICK%RS39;FLAT RICKY;UN;CALZADO;
1F1VIRICK%RS40;FLAT RICKY;UN;CALZADO;
1F2VCAMPI%NG35;SANDALIA CON TACHAS;UN;CALZADO;
1F2VCAMPI%NG36;SANDALIA CON TACHAS;UN;CALZADO;
1F2VCAMPI%NG37;SANDALIA CON TACHAS;UN;CALZADO;
1F2VCAMPI%NG38;SANDALIA CON TACHAS;UN;CALZADO;
1F2VCAMPI%NG39;SANDALIA CON TACHAS;UN;CALZADO;
1F2VCAMPI%NG40;SANDALIA CON TACHAS;UN;CALZADO;
1F2VCAMPI%OF35;SANDALIA CON TACHAS;UN;CALZADO;
1F2VCAMPI%OF36;SANDALIA CON TACHAS;UN;CALZADO;
1F2VCAMPI%OF37;SANDALIA CON TACHAS;UN;CALZADO;
1F2VCAMPI%OF38;SANDALIA CON TACHAS;UN;CALZADO;
1F2VCAMPI%OF39;SANDALIA CON TACHAS;UN;CALZADO;
1F2VCAMPI%OF40;SANDALIA CON TACHAS;UN;CALZADO;
1F2VCBEKIND%MB35;SANDALIA DE FAJAS;UN;CALZADO;
1F2VCBEKIND%MB36;SANDALIA DE FAJAS;UN;CALZADO;
1F2VCBEKIND%MB37;SANDALIA DE FAJAS;UN;CALZADO;
1F2VCBEKIND%MB38;SANDALIA DE FAJAS;UN;CALZADO;
1F2VCBEKIND%MB39;SANDALIA DE FAJAS;UN;CALZADO;
1F2VCBEKIND%MB40;SANDALIA DE FAJAS;UN;CALZADO;
1F2VCBEKIND%NG35;SANDALIA DE FAJAS;UN;CALZADO;
1F2VCBEKIND%NG36;SANDALIA DE FAJAS;UN;CALZADO;
1F2VCBEKIND%NG37;SANDALIA DE FAJAS;UN;CALZADO;
1F2VCBEKIND%NG38;SANDALIA DE FAJAS;UN;CALZADO;
1F2VCBEKIND%NG39;SANDALIA DE FAJAS;UN;CALZADO;
1F2VCBEKIND%NG40;SANDALIA DE FAJAS;UN;CALZADO;
1F2VCRICH%FX35;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VCRICH%FX36;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VCRICH%FX37;SANDALIA CON TIRAS FINITA;UN;CALZADO;
1F2VCRICH%FX38;SANDALIA CON TIRAS FINITA;UN;CALZADO;
